hh_income,education,hh_lifeCycle,occupation_type,age,sex,hh_size,motif
1,4,1,4,22,1,1,HOH
9,5,2,4,58,1,2,HWH
8,5,5,1,42,1,3,HWWH
4,4,2,4,23,1,2,HWH
4,3,2,1,21,2,2,HWH
11,5,8,4,52,2,4,HOWOH
11,5,8,4,52,1,4,HWOWH
11,1,8,5,16,2,4,HWH
10,4,2,4,51,2,2,HOWOH
10,3,2,1,52,1,2,HWOWH
11,5,1,4,68,2,1,HOOH
7,4,4,4,33,1,4,HOWH
7,2,4,3,58,1,4,HOWH
7,3,2,1,30,2,2,HOOH
11,5,2,4,63,2,2,HWOH
11,5,2,4,61,1,2,HOWH
3,2,5,1,49,2,3,HWH
3,2,5,3,18,1,3,HWH
6,4,5,4,47,1,2,HWH
7,4,8,2,53,2,4,HWOH
7,4,8,4,54,1,4,HWH
7,3,8,3,20,1,4,HWH
7,3,8,1,19,2,4,HWOWH
4,5,1,4,73,1,1,HOWH
6,5,2,4,30,1,2,HOWH
6,4,2,1,26,2,2,HOWH
6,3,10,4,45,2,3,HWH
7,5,1,4,62,2,1,HWOH
6,3,1,2,66,1,1,HWOWH
7,5,2,4,31,1,2,HWOH
7,5,2,4,34,2,2,HWOH
4,2,1,1,66,2,1,HWOH
11,5,2,4,63,1,2,HWOH
11,5,2,4,61,2,2,HOH
7,2,10,1,20,1,3,HOH
6,5,1,4,26,2,1,HWH
1,4,5,4,34,1,2,HOWOH
8,4,10,4,59,1,4,HWWH
8,4,10,4,59,2,4,HOOH
8,4,10,4,26,1,4,HWOWH
6,4,2,4,23,1,2,HWH
6,3,2,4,23,2,2,HWWH
3,4,10,4,55,1,2,HOOH
4,1,4,1,32,2,3,HOH
4,1,4,1,33,1,3,HOH
5,2,10,1,72,2,3,HWH
6,3,1,3,37,1,1,HWH
8,3,9,4,78,1,1,HWOWH
5,2,8,4,37,2,3,HOH
5,2,8,1,38,1,3,HOH
5,3,8,4,20,2,3,HOH
4,3,1,3,55,2,1,HWH
8,4,2,1,54,2,2,HOH
8,4,2,4,54,1,2,HWWH
4,3,10,4,68,2,2,HOH
2,5,6,4,48,1,5,HWH
2,2,6,1,19,1,5,HWH
2,1,6,5,17,2,5,HWH
9,4,2,4,38,1,2,HWOH
9,5,2,2,51,2,2,HWH
11,5,2,4,62,1,2,HOH
11,5,2,4,60,2,2,HWH
7,3,2,3,70,2,2,HOOH
7,4,2,1,70,1,2,HOOH
5,5,2,4,40,2,3,HOH
5,5,2,4,43,1,3,HWH
5,3,2,3,25,1,3,HWOWH
8,5,1,4,69,1,1,HOWH
6,3,1,2,70,2,1,HWH
6,4,1,4,33,2,1,HWH
11,5,4,4,36,2,4,HOOH
11,5,4,4,38,1,4,HWOWH
9,4,2,3,62,1,3,HWWH
9,4,2,1,28,2,3,HOWH
7,3,5,4,42,1,2,HOWOH
5,2,2,4,53,1,2,HWH
5,2,10,1,33,1,3,HOWH
8,5,10,4,71,1,2,HOOH
6,3,1,4,64,2,1,HWOH
9,5,4,4,34,1,4,HWH
10,5,2,4,61,1,2,HWWH
10,5,2,4,59,2,2,HWH
6,4,1,4,42,2,1,HOOH
10,5,2,4,32,1,2,HWOH
7,5,1,4,31,1,1,HWH
11,3,2,4,56,1,2,HOOH
6,5,1,4,62,1,1,HOWOH
5,4,6,2,49,2,5,HWH
5,3,6,1,50,1,5,HWH
5,1,6,5,17,1,5,HWH
10,4,2,4,27,2,3,HOH
10,4,2,4,40,1,3,HWH
11,5,2,4,67,1,2,HWOH
11,4,2,4,66,2,2,HWH
5,5,2,4,24,2,2,HWOH
5,4,2,1,29,2,2,HOWOH
7,3,2,2,60,2,2,HOWH
7,3,2,3,55,1,2,HOWH
9,4,2,4,51,1,2,HOOH
9,2,2,4,46,2,2,HOOH
10,4,2,4,27,2,2,HOH
11,5,2,4,62,1,2,HWWH
11,4,2,4,54,2,2,HWH
5,4,2,4,70,1,2,HWOH
8,5,2,4,62,1,2,HWH
9,4,10,4,67,2,2,HWOH
5,3,2,3,56,1,2,HOWOH
5,2,2,3,25,1,2,H
7,4,2,3,63,1,2,HWH
7,2,2,2,62,2,2,HWH
7,3,6,4,39,1,4,HWH
7,3,6,4,32,2,4,HOH
11,5,4,4,43,1,3,HWWH
11,5,4,4,35,2,3,HOWOH
10,3,2,4,53,1,3,HOOH
10,3,2,4,58,2,3,HWH
2,3,2,3,36,1,4,HWH
2,3,2,1,34,1,4,HWH
4,3,1,4,52,2,1,HWOH
7,2,2,3,55,1,3,HWH
7,4,2,1,28,2,3,HWOH
7,2,2,1,32,1,3,HWH
11,5,4,4,32,1,3,HWOH
11,5,4,4,33,2,3,HOH
6,5,2,4,64,2,2,HWOH
6,2,2,1,69,1,2,HWOH
